batch_size,per_batch_mb,full_dataset_mb,with_gradients_mb
8,34.986328125,26283.47900390625,104.958984375
16,69.97265625,26283.47900390625,209.91796875
32,139.9453125,26283.47900390625,419.8359375
64,279.890625,26283.47900390625,839.671875
128,559.78125,26283.47900390625,1679.34375
